stop_code,total_departures,avg_departure_delay_sec,pct_delayed_departures
HSTG,1820,10.53,46.92
WINZ,2756,-1.07,46.92
WIPK,1786,6.32,46.86
SPOW,1842,4.02,46.85
PAKI,605,1.48,46.78
FARB,4696,11.42,46.7
HRTI07,1075,2.62,46.7
SANK,605,1.03,46.61
SUSE,1917,1.21,46.53
SAAL,4612,11.89,46.51
WAFB,1082,5.01,46.49
BGLA07,2572,5.2,46.46
FLUG07,2561,6.54,46.35
BWAL07,1075,1.24,46.23
BODE,600,6.35,46.17
BELA07,1075,2.11,46.05
RBAU07,2572,5.27,46.03
BQUA,10308,3.85,46.01
HERS,2316,4.1,45.9
GLIN07,2572,3.95,45.72
JUGI,2161,7.75,45.63
OBUR,552,1.25,45.47
WAGO,1913,10.35,45.43
SEID,1902,14.68,45.37
SPLA,7411,8.66,45.16
TECH,1844,2.03,45.01
RAEN,300,3.42,45.0
UNTR07,2572,4.96,44.98
BPLA,8474,7.46,44.97
SCHO,3754,8.85,44.97
TONA,1842,1.84,44.9
HOFS,1820,9.57,44.89
ABAD01,566,-1.13,44.88
KFLU,5610,6.06,44.88
IRCH,3662,6.03,44.84
THUJ,2162,6.25,44.82
ZYPR,3735,5.46,44.71
ASUN01,1142,1.24,44.66
BABH07,2572,3.8,44.44
LAUB,5193,10.27,44.41
HARD,6431,1.64,44.25
RENT,2871,2.56,44.24
WURZ,1845,3.74,44.23
LIMM,7400,4.16,44.15
HORN,605,0.35,44.13
KRES,4172,6.36,44.1
HIRZ,920,2.47,43.91
AARG,1843,3.57,43.9
HARH,1857,3.42,43.89
FELD,4172,9.35,43.84
GUGG,3680,6.9,43.83
KUNS,7194,5.72,43.69
WAFF,5271,5.17,43.69
ZAUZ,3446,-2.2,43.64
BEZI,3774,4.92,43.59
LANM,3681,4.61,43.52
KSPI,663,-2.71,43.44
BETH,928,17.84,43.43
FWEG,5521,3.94,43.42
MANS,2700,1.05,43.41
BURK,9389,0.41,43.23
BERO,5518,3.19,43.17
MULL,1912,6.89,43.15
GLAS,975,4.9,42.56
BSEL,1978,4.44,42.52
GASO,1912,8.52,42.47
LOCH,3734,2.2,42.29
RIGI,5535,5.39,42.28
HELM,1776,-3.54,42.12
BEDE,3459,5.19,42.06
DEP4,296,-106.82,41.89
ZWIE,4037,0.16,41.89
RATH,1779,-3.39,41.88
CENT,11843,5.97,41.87
LETZ,3695,2.8,41.6
SIHN,5153,3.47,41.59
OPER,4174,3.28,41.38
MUSR,2031,3.24,41.31
BSTA,3584,6.57,41.13
SIHL,5522,-2.16,41.13
RBRU,1779,-5.06,40.75
TIER,3746,4.7,40.47
KINK,3696,1.27,40.45
TOBL,2842,3.97,40.15
SOLP,885,0.43,40.11
FOER,5521,0.31,39.87
GESS,1942,-0.42,39.8
BESE,944,1.2,39.51
TUNN,5086,2.51,39.48
ALTZ07,494,0.97,39.47
MUFG,5522,-3.34,39.28
QUEL,5521,-2.21,39.21
BELL,11567,-0.36,39.19
ZUER,1914,-1.53,38.66
ADIE01,566,-4.59,38.52
ENGE,4564,0.58,38.52
WINK,3696,-0.64,37.99
HALB,3696,-0.68,37.39
BSTR,7889,0.79,37.28
SIHS,3515,-3.36,37.27
LOEB,5522,-4.05,37.05
STOC,6787,-2.14,36.81
RENN,6771,-0.0,36.48
DEP8,214,-113.41,36.45
KANB,7065,-5.37,36.33
GAR6,970,-84.91,35.77
PARA,12065,-3.89,35.54
SONN,1874,-0.38,35.06
KANT,3561,-4.36,34.79
VOLT,3480,-4.59,34.71
OTTI,1874,-2.8,34.63
ROES,1875,-1.69,34.61
DEP2,152,-78.22,34.21
ETHZ,5396,-4.45,33.71
STAU,9291,-4.15,33.65
FRAF07,2568,-10.97,33.14
ADMO,566,-10.72,32.69
HEGG,5288,-5.1,32.58
GAAN,107,-254.21,30.84
PLAT,3485,-8.09,30.22
AGRU,290,-20.23,29.31
SGEI,1914,-8.77,28.68
DEP7,206,-146.2,28.16
ALBG,1032,-10.95,27.62
